worm names,velc10,velc50,velc90,vel10,vel50,vel90,ampt10,ampt50,ampt90,waveL10,waveL50,waveL90,thicknessOne10,thicknessOne50,thicknessOne90,thicknessTwo10,thicknessTwo50,thicknessTwo90,thicknessMid10,thicknessMid50,thicknessMid90,ecc10,ecc50,ecc90,minRecRatio10,minRecRatio50,minRecRatio90,baekAmp10,baekAmp50,baekAmp90,baekAmpRatio10,baekAmpRatio50,baekAmpRatio90,angChRate10,angChRate50,angChRate90,area10,area50,area90,length10,length50,length90,width10,width50,width90,fatness10,fatness50,fatness90,bodyTrans10,bodyTrans50,bodyTrans90,HTBright10,HTBright50,HTBright90,pathMo2nd
N2_on_food,0.063513,-0.28454,-0.10991,0.080679,-0.27927,-0.13127,-0.65091,0.14081,1.1033,0.59078,1.3261,0.97216,-0.43316,0.19481,-0.090823,-0.43487,-0.35076,-0.071461,0.093501,0.065375,0.19683,0.73926,0.5409,0.39521,1.4156,1.2582,0.79421,-0.62541,-0.84803,-0.34273,1.9008,0.78831,0.49391,1.4298,1.0945,0.07258,0.24733,0.27506,0.58185,0.59615,0.6538,0.78844,-0.04426,0.039667,0.06887,0.02195,-0.0072574,-0.029516,-0.11249,-0.31524,-0.081439,0.31465,0.12553,-0.010603,-0.61877
N2_on_food,0.074142,-0.28047,-0.11073,0.089698,-0.24517,-0.13286,0.32085,0.47764,0.53695,0.2059,0.89596,0.54706,-0.70134,-0.96233,-0.19683,-0.0075264,0.44381,0.18089,0.0015552,0.13333,0.24747,0.55223,0.37149,0.20789,0.58439,0.42235,0.14715,0.41545,0.45262,0.50064,1.2702,1.0451,0.78727,-0.39314,-0.35887,-0.1671,0.17463,0.53644,0.62407,0.57244,0.61019,0.65493,-0.15874,0.11853,0.18763,-0.021174,0.23617,0.079315,-0.40748,-0.5874,-0.71689,-0.93725,-0.29074,0.52498,-0.39657
N2_on_food,0.080607,1.7561,0.15771,0.078728,1.6665,0.16354,0.30136,0.15908,0.17104,0.38362,1.0847,1.1946,0.79709,0.76066,0.17131,0.15449,0.76595,0.39163,0.032517,-0.012507,0.025247,0.6124,0.45535,0.2981,0.76773,0.66847,0.27288,0.58194,0.52138,0.83066,1.8975,0.9544,0.39875,-0.7182,-0.60737,-0.21692,0.453,0.6881,0.90152,1.0094,1.1712,1.3537,-0.16923,-0.096419,0.014175,0.055206,0.14499,0.035963,-0.35832,-0.51936,-0.71689,0.34799,0.57391,0.34678,0.90288
N2_on_food,0.032502,1.5082,0.14517,0.036707,1.4926,0.15909,0.36085,-0.036091,-0.25406,0.49103,0.10428,0.99174,0.53642,0.61146,-0.028453,-0.14409,0.1899,0.048835,0.042958,-0.20334,0.17651,0.27682,0.37141,0.26294,-0.18589,0.35797,0.23643,0.62766,0.61621,0.90985,0.20147,0.58428,0.2333,-0.74877,-0.63083,-0.22135,0.63169,0.49303,1.2118,0.85779,0.98423,1.047,-0.13994,-0.25886,0.10333,-0.010795,-0.16279,0.10708,-0.55498,-0.99566,-1.2729,-0.9502,-0.20344,0.23903,0.35919
N2_on_food,-0.11044,-0.26245,0.075567,-0.12538,-0.15009,0.077843,-0.2763,-0.25362,0.18016,0.17852,0.81074,0.85444,0.38714,0.54008,0.078453,-0.74001,0.38207,0.23764,-0.23995,-0.50296,0.11384,0.61427,0.49856,0.33351,0.78166,0.91194,0.48941,-0.069525,-0.18502,0.21437,2.2579,1.1944,0.63337,-0.64062,-0.54233,-0.19418,0.083699,-0.041632,0.94329,0.62679,0.68345,0.83249,-0.44764,-0.47105,0.10859,-0.20834,-0.30319,0.16996,-0.60414,-0.99566,-1.3523,0.10052,0.83484,0.87145,0.6409
N2_on_food,0.016102,0.36049,0.0088848,0.028439,0.46741,-0.0095329,0.17555,0.40524,0.62431,0.58392,0.66619,0.89103,0.60496,0.75764,-0.087621,1.1123,0.61763,-0.18366,0.022583,-0.20135,-0.1995,0.26187,0.37337,0.3027,-0.10372,0.39763,0.3387,0.38826,0.46418,0.8916,-0.77191,0.49339,0.51653,0,0,0,0.15287,0.058111,0.21732,0.7322,0.8655,0.95585,-0.14732,-0.20024,-0.25765,-0.00079197,-0.19987,-0.1583,-0.40748,-0.72349,-1.114,0.40595,0.39257,0.42226,0.039319
N2_on_food,0.038535,0.11751,-0.028544,0.058857,0.23818,-0.042103,-0.54241,-0.14156,0.15413,-0.066492,1.0518,0.80027,-0.21701,0.67704,0.085353,-0.57355,-0.5571,-0.28701,0.032517,0.069015,0.29941,0.59148,0.47396,0.34161,0.62113,0.8582,0.77751,-0.33945,-0.0053183,0.47385,1.0663,1.125,0.52353,1.1383,0.81465,0.033511,0.028302,0.20607,0.6083,0.56952,0.5949,0.60728,-0.22271,0.019955,0.19685,-0.087588,0.038183,0.12967,-0.35832,-0.5874,0.31572,0.47619,0.8997,0.57401,0.11937
N2_on_food,-0.014117,0.35765,0.038513,-0.0036797,0.44362,0.034915,-0.14799,-0.20311,0.29798,0.40665,0.94751,0.85427,-0.15303,0.15064,-0.028453,-0.67505,-0.4424,-0.33259,-0.17259,-0.20334,0.10314,0.65526,0.46954,0.34063,1.1306,0.81455,0.58933,0.035456,-0.10931,-0.0026778,1.5595,0.97517,0.51986,0,0,0,0.27587,0.45846,0.89274,0.6956,0.75283,0.80583,-0.41028,-0.25576,0.039897,-0.24629,-0.11074,0.053102,-0.35832,-0.72349,-1.0346,-0.96092,-0.6529,-0.3848,0.73843
N2_on_food,0.057449,-0.28978,-0.092423,0.067963,-0.25709,-0.10841,-0.66969,0.083911,0.79403,0.41198,1.2489,1.0207,-0.32633,0.61146,0.23195,-0.75885,-0.17105,-0.1521,0.069208,0.36662,0.25133,0.60464,0.47154,0.41553,0.70901,0.75719,1.3068,-0.61373,-0.19717,0.61699,0.66646,0.6493,0.53045,-1.2108,-0.97864,-0.28255,0.45008,0.92641,0.95558,0.63345,0.67141,0.72672,-0.04414,0.22874,0.17163,0.057948,0.37114,0.10824,-0.45665,-0.85957,-1.2729,-0.50499,-0.045567,0.51479,-0.27076
N2_on_food,0.23176,-0.59033,-0.32371,0.29283,-0.64185,-0.3933,0.37233,-0.63994,-1.0284,0.0066481,-1.3262,0.12813,1.3356,0.84203,-0.12561,1.1714,0.67168,-0.18366,-0.20398,-0.23492,-0.3557,0.39505,0.27515,0.037229,0.16464,0.12852,-0.4445,0.79307,0.26303,0.25085,1.3906,0.64658,0.40417,0.26121,0.12821,-0.094536,-0.29162,-0.17681,-0.33714,0.49359,0.42341,0.35967,-0.4432,-0.31172,-0.39604,-0.3117,-0.1609,-0.27295,-0.16166,-0.31524,-0.63746,0.57311,0.23688,-0.1453,-0.14486
